,precision,recall,f1-score,support
1,0.9880715705765407,0.994,0.9910269192422732,1500.0
2,0.9775132275132276,0.9853333333333333,0.9814077025232404,1500.0
3,0.9811320754716981,0.9706666666666667,0.9758713136729222,1500.0
4,0.9801718440185063,0.9880079946702198,0.9840743198407432,1501.0
5,0.9781746031746031,0.9853431045969354,0.9817457683372054,1501.0
6,0.9873586161011311,0.9893333333333333,0.9883449883449883,1500.0
7,0.9879518072289156,0.983344437041972,0.9856427378964941,1501.0
8,0.9804450438300741,0.9693333333333334,0.9748575259805565,1500.0
9,0.9785666443402545,0.974,0.9762779819579017,1500.0
accuracy,0.9821521143449604,0.9821521143449604,0.9821521143449604,0.9821521143449604
macro avg,0.9821539369172169,0.9821513558861993,0.982138806421814,13503.0
weighted avg,0.9821539248046248,0.9821521143449604,0.9821391801466758,13503.0
