digit,type,correlation
1,Clean,0.9738015791363804
1,Clean,0.9727563676911277
1,Clean,0.9709022295952596
1,Clean,0.9691759267474827
1,Clean,0.9708070140313585
1,Clean,0.9727204911025975
1,Clean,0.9698723746414403
1,Clean,0.9768664295906321
1,Clean,0.9732391874109024
1,Clean,0.9673597854219046
1,Clean,0.9760441479146139
1,Clean,0.970490051997803
1,Clean,0.9666988244279454
1,Clean,0.9753854036818235
1,Clean,0.9725471628781128
1,Clean,0.9683061554029514
1,Clean,0.968571558904201
1,Clean,0.9735522933618053
1,Clean,0.97196871620784
1,Clean,0.9729150950240039
1,Clean,0.9723037437132538
1,Clean,0.9750782857285
1,Clean,0.9742405643026029
1,Clean,0.9714441595947216
1,Clean,0.97155674730609
1,Clean,0.9705184214384596
1,Clean,0.9754074669653487
1,Clean,0.9716898702460818
1,Clean,0.9744094858659615
1,Clean,0.9714015125111135
1,Clean,0.9731179071081234
1,Clean,0.9720452869245645
1,Clean,0.9719509846952973
1,Clean,0.9745991206803053
1,Clean,0.9706263214140368
1,Clean,0.9731341160687962
1,Clean,0.9765220815084225
1,Clean,0.9750772808055304
1,Clean,0.972953572538919
1,Clean,0.9751922712502086
1,Clean,0.9734991431218006
1,Clean,0.9705834185580262
1,Clean,0.9749771185601706
1,Clean,0.9712692958579954
1,Clean,0.9746123586682677
1,Clean,0.9718413318976077
1,Clean,0.9761006768682493
1,Clean,0.9731123658200893
1,Clean,0.9741148582939727
1,Clean,0.9715709522850243
1,Clean,0.9753723067475538
1,Clean,0.9704329849779231
1,Clean,0.9741632770156529
1,Clean,0.9690592552738865
1,Clean,0.9706106458717725
1,Clean,0.9755626467242317
1,Clean,0.9748130206037314
1,Clean,0.973416094728848
1,Clean,0.9748657670418894
1,Clean,0.9716832033642434
1,Clean,0.974157024346344
1,Clean,0.9740250760929957
1,Clean,0.9729306124421292
1,Clean,0.9684718222829645
1,Clean,0.9778446314099983
1,Clean,0.9712503693062141
1,Clean,0.973820418216503
1,Clean,0.9741568983176643
1,Clean,0.9723033360208759
1,Clean,0.9767467685727225
1,Clean,0.9735706820677339
1,Clean,0.9725275523848156
1,Clean,0.9730063310157977
1,Clean,0.9782529010415488
1,Clean,0.9738675770161866
1,Clean,0.9727447259944069
1,Clean,0.9759615304141289
1,Clean,0.9761398107789848
1,Clean,0.9762198038915062
1,Clean,0.9772898279305874
1,Clean,0.9771157487984258
1,Clean,0.9766886470799939
1,Clean,0.9772634913336224
1,Clean,0.9711866816106189
1,Clean,0.9720889700494214
1,Clean,0.9691774852271444
1,Clean,0.9740543007013626
1,Clean,0.9741789728340662
1,Clean,0.9744646190489714
1,Clean,0.9729042660204089
1,Clean,0.9707989681170541
1,Clean,0.9765372558127371
1,Clean,0.9706288584326817
1,Clean,0.9753179903913111
1,Clean,0.9755780329211937
1,Clean,0.9737163631180936
1,Clean,0.9747712122815567
1,Clean,0.9705316638736856
1,Clean,0.9755206992607761
1,Clean,0.9746198517923305
1,Clean,0.9696431536023822
1,Clean,0.9746409333636946
1,Clean,0.9726021237316482
1,Clean,0.9699502852259589
1,Clean,0.9698092287603672
1,Clean,0.9715162601490942
1,Clean,0.9718147178208737
1,Clean,0.9735517569581432
1,Clean,0.9746565668328282
1,Clean,0.9728844771455384
1,Clean,0.971712101054271
1,Clean,0.971793979471333
1,Clean,0.9727210474637705
1,Clean,0.9769467125872368
1,Clean,0.9678475212161152
1,Clean,0.9735509139315869
1,Clean,0.9739625667594652
1,Clean,0.9733362062458218
1,Clean,0.976546475645654
1,Clean,0.9730405961432894
1,Clean,0.9785681406316971
1,Clean,0.9734076900174621
1,Clean,0.97189196533395
1,Clean,0.9755888648857037
1,Clean,0.9679859044251921
1,Clean,0.9763153618698094
1,Clean,0.9745964363804973
1,Clean,0.975739045022075
1,Clean,0.9740114745928907
1,Clean,0.9741139215994558
1,Clean,0.9774369356126609
1,Clean,0.9735606052991962
1,Clean,0.9731869136824596
1,Clean,0.9767288453954098
1,Clean,0.9758749879790202
1,Clean,0.9723206500577624
1,Clean,0.9724526033401765
1,Clean,0.971581254219678
1,Clean,0.9776136650110676
1,Clean,0.9736604987750951
1,Clean,0.9781799831524572
1,Clean,0.9739405408616619
1,Clean,0.9762417339246562
1,Clean,0.9756099766824591
1,Clean,0.9735680683773268
1,Clean,0.972670649287885
1,Clean,0.9756121753960568
1,Clean,0.9692872842562485
1,Clean,0.9720555352492435
1,Clean,0.9718350789375823
1,Clean,0.975262783455536
1,Clean,0.9722028585529429
1,Clean,0.9760548731873115
1,Clean,0.9755579056611426
1,Clean,0.9800080918092777
1,Clean,0.969040969369932
1,Clean,0.9739489368596888
1,Clean,0.975633749582154
1,Clean,0.9747639625712364
1,Clean,0.9708983644728539
1,Clean,0.9743121796510552
1,Clean,0.9790935888416321
1,Clean,0.9704935284849425
1,Clean,0.9751704163078287
1,Clean,0.9752712594432073
1,Clean,0.9752590532643755
1,Clean,0.9739286846364675
1,Clean,0.9771423605094323
1,Clean,0.9718063843952855
1,Clean,0.9735544625199721
1,Clean,0.9736660426287911
1,Clean,0.9732511295974998
1,Clean,0.9750212537083026
1,Clean,0.9730068862866031
1,Clean,0.9741097065684293
1,Clean,0.9711167532324675
1,Clean,0.9744174699517199
1,Clean,0.9742684741850448
1,Clean,0.9776567092788282
1,Clean,0.9734419915630428
1,Clean,0.9743943060554388
1,Clean,0.9735185723210434
1,Clean,0.9743380981324976
1,Clean,0.9743559126244455
1,Clean,0.9725140062059185
1,Clean,0.9720581922427052
1,Clean,0.9741094374483138
1,Clean,0.9734288698526012
1,Clean,0.9706881331330144
1,Clean,0.9731515325920093
1,Clean,0.9729805569683256
1,Clean,0.9782173356908744
1,Clean,0.9695018225808036
1,Clean,0.9768293471523938
1,Clean,0.9763537602868959
1,Clean,0.9759236619774875
1,Clean,0.9751681802581939
1,Clean,0.9702781936949457
1,Clean,0.9763148202654967
1,Clean,0.9773477064870408
1,Clean,0.9738125784044556
1,Clean,0.9709829944922264
1,Clean,0.9745023665414055
1,Clean,0.9709021265715387
1,Clean,0.9715080314415965
1,Clean,0.976813695303098
1,Clean,0.9771850587257831
1,Clean,0.975351524398745
1,Clean,0.9704574643232947
1,Clean,0.9701198742733421
1,Clean,0.9749778440727225
1,Clean,0.9693661150982863
1,Clean,0.9669857099457726
1,Clean,0.9762639204283639
1,Clean,0.9710308181814284
1,Clean,0.9685907062084367
1,Clean,0.9759614740094166
