Тип данных,Целевая цифра,Сравниваемая цифра,Корреляция
clean,Цель: 1,1,0.9485151351454503
clean,Цель: 1,2,0.44443189766196933
clean,Цель: 1,3,0.44695166752722454
clean,Цель: 1,4,0.4664025112652874
clean,Цель: 1,5,0.4199999228650063
clean,Цель: 1,6,0.4433419597892021
clean,Цель: 1,7,0.44335929920313166
clean,Цель: 1,8,0.4285697016847512
clean,Цель: 1,9,0.4584279048579774
clean,Цель: 2,1,0.44443189766196933
clean,Цель: 2,2,0.9936313764016559
clean,Цель: 2,3,0.4277512515234431
clean,Цель: 2,4,0.4154586917079286
clean,Цель: 2,5,0.45564589361321667
clean,Цель: 2,6,0.44837171296427386
clean,Цель: 2,7,0.4202135308631975
clean,Цель: 2,8,0.44793647219059585
clean,Цель: 2,9,0.4465591730737191
clean,Цель: 3,1,0.44695166752722454
clean,Цель: 3,2,0.4277512515234431
clean,Цель: 3,3,0.9491615361197971
clean,Цель: 3,4,0.4285838008172227
clean,Цель: 3,5,0.45419658962780185
clean,Цель: 3,6,0.4573783260089441
clean,Цель: 3,7,0.4431257402957527
clean,Цель: 3,8,0.43456934569845207
clean,Цель: 3,9,0.4582817423813616
clean,Цель: 4,1,0.4664025112652874
clean,Цель: 4,2,0.4154586917079286
clean,Цель: 4,3,0.4285838008172227
clean,Цель: 4,4,0.9712652798277479
clean,Цель: 4,5,0.4394787996412043
clean,Цель: 4,6,0.43228646009431904
clean,Цель: 4,7,0.43062158184334465
clean,Цель: 4,8,0.4671644123516206
clean,Цель: 4,9,0.44873846245132476
clean,Цель: 5,1,0.4199999228650063
clean,Цель: 5,2,0.45564589361321667
clean,Цель: 5,3,0.45419658962780185
clean,Цель: 5,4,0.4394787996412043
clean,Цель: 5,5,0.9910574285558147
clean,Цель: 5,6,0.4539088167966037
clean,Цель: 5,7,0.4397862400572934
clean,Цель: 5,8,0.42275791938570945
clean,Цель: 5,9,0.42316838945734964
clean,Цель: 6,1,0.4433419597892021
clean,Цель: 6,2,0.44837171296427386
clean,Цель: 6,3,0.4573783260089441
clean,Цель: 6,4,0.43228646009431904
clean,Цель: 6,5,0.4539088167966037
clean,Цель: 6,6,0.9514813386516514
clean,Цель: 6,7,0.4419554253777726
clean,Цель: 6,8,0.419954252670198
clean,Цель: 6,9,0.45132170764703555
clean,Цель: 7,1,0.44335929920313166
clean,Цель: 7,2,0.4202135308631975
clean,Цель: 7,3,0.4431257402957527
clean,Цель: 7,4,0.43062158184334465
clean,Цель: 7,5,0.4397862400572934
clean,Цель: 7,6,0.4419554253777726
clean,Цель: 7,7,0.9867879858454117
clean,Цель: 7,8,0.4519661568754323
clean,Цель: 7,9,0.44218403963866326
clean,Цель: 8,1,0.4285697016847512
clean,Цель: 8,2,0.44793647219059585
clean,Цель: 8,3,0.43456934569845207
clean,Цель: 8,4,0.4671644123516206
clean,Цель: 8,5,0.42275791938570945
clean,Цель: 8,6,0.419954252670198
clean,Цель: 8,7,0.4519661568754323
clean,Цель: 8,8,1.0
clean,Цель: 8,9,0.42708173914324055
clean,Цель: 9,1,0.4584279048579774
clean,Цель: 9,2,0.4465591730737191
clean,Цель: 9,3,0.4582817423813616
clean,Цель: 9,4,0.44873846245132476
clean,Цель: 9,5,0.42316838945734964
clean,Цель: 9,6,0.45132170764703555
clean,Цель: 9,7,0.44218403963866326
clean,Цель: 9,8,0.42708173914324055
clean,Цель: 9,9,0.9442368413493282
noisy,Цель: 1,1,1.0
noisy,Цель: 1,2,0.4271445914826835
